"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 21:57:24 MSK 2024","Thu Mar 28 21:57:31 MSK 2024","6613","tests","test_order_page","TestOrderFirstPage","","","test_second_order_page_via_top_button_is_filled[\u0411\u0435\u0437 \u043f\u0430\u043a\u0435\u0442\u043e\u0432, \u043f\u0432\u0438\u0437!-\u041a\u0430\u0442\u044f-\u0423\u043c\u043d\u0430\u044f-123 \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435-+79123456789]",""
"passed","Thu Mar 28 21:55:33 MSK 2024","Thu Mar 28 21:55:37 MSK 2024","3491","tests","test_about_important","TestImportantQuestions","","","test_check_answer_on_question[question_data6]",""
"passed","Thu Mar 28 21:57:42 MSK 2024","Thu Mar 28 21:57:49 MSK 2024","6463","tests","test_order_page","TestOrderFirstPage","","","test_second_order_page_via_top_button_is_filled[\u0411\u0435\u0437 \u043f\u0430\u043a\u0435\u0442\u043e\u0432, \u043f\u0432\u0438\u0437!-\u0412\u044f\u0447\u0435\u0441\u043b\u0430\u0432-\u0425\u0440\u0430\u0431\u0440\u044b\u0439-456 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435-+79987654321]",""
"passed","Thu Mar 28 21:56:49 MSK 2024","Thu Mar 28 21:56:55 MSK 2024","6120","tests","test_order_page","TestOrderFirstPage","","","test_second_order_page_via_top_button_is_filled[\u0412\u044b \u0441\u0443\u043f\u0435\u0440, \u0441\u043f\u0430\u0441\u0438\u0431\u043e-\u041a\u0430\u0442\u044f-\u0423\u043c\u043d\u0430\u044f-123 \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435-+79123456789]",""
"passed","Thu Mar 28 21:54:38 MSK 2024","Thu Mar 28 21:54:40 MSK 2024","2367","tests","test_about_important","TestImportantQuestions","","","test_check_answer_on_question[question_data2]",""
"passed","Thu Mar 28 21:58:17 MSK 2024","Thu Mar 28 21:58:21 MSK 2024","4405","tests","test_order_page","TestOrderFirstPage","","","test_redirect_to_main_page_via_samokat[\u0412\u044f\u0447\u0435\u0441\u043b\u0430\u0432-\u0425\u0440\u0430\u0431\u0440\u044b\u0439-456 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435-+79987654321]",""
"passed","Thu Mar 28 21:54:52 MSK 2024","Thu Mar 28 21:54:54 MSK 2024","2435","tests","test_about_important","TestImportantQuestions","","","test_check_answer_on_question[question_data3]",""
"passed","Thu Mar 28 21:55:06 MSK 2024","Thu Mar 28 21:55:08 MSK 2024","2217","tests","test_about_important","TestImportantQuestions","","","test_check_answer_on_question[question_data4]",""
"passed","Thu Mar 28 21:54:09 MSK 2024","Thu Mar 28 21:54:12 MSK 2024","3083","tests","test_about_important","TestImportantQuestions","","","test_check_answer_on_question[question_data0]",""
"passed","Thu Mar 28 21:54:23 MSK 2024","Thu Mar 28 21:54:26 MSK 2024","2363","tests","test_about_important","TestImportantQuestions","","","test_check_answer_on_question[question_data1]",""
